ContractID,ContractType,Department,VendorID,ContractValue,PaymentTerms,Payment_Method,TransactionDate,IsFraud
1,Construction,Engineering,v2,90658.26,Net 60,PayPal,2023-06-24,false
2,Maintenance,Port,v1,57022.25,Net 30,Credit Card,2023-05-12,false
3,Services,Public Works,v2,91716.66,Net 45,Bank Transfer,2023-07-16,true
4,Maintenance,Public Works,v1,18814.25,Net 45,Credit Card,2022-10-31,false
5,Maintenance,Airport,v2,76935.8,Net 60,Credit Card,2022-11-08,true
6,Maintenance,Bridge and Highway,v2,26291.48,Net 60,PayPal,2023-09-24,false
7,Services,Public Works,v3,91319.81,Net 30,PayPal,2023-01-11,false
8,Supply,Airport,v4,56929.45,Net 45,Credit Card,2023-02-02,false
9,Maintenance,Airport,v1,51262.47,Net 45,PayPal,2023-04-19,true
10,Supply,Port,v3,60151.18,Net 30,Bank Transfer,2023-03-25,true
11,Maintenance,Port,v5,47196.2,Net 30,Credit Card,2022-12-06,false
12,Services,Public Works,v5,56012.26,Net 45,Bank Transfer,2023-10-04,false
13,Services,Transportation,v1,42855.47,Net 45,PayPal,2022-11-25,false
14,Supply,Transportation,v5,27574.03,Net 45,Bank Transfer,2022-11-24,false
15,Construction,Bridge and Highway,v3,34914.57,Net 45,Credit Card,2023-04-20,false
16,Services,Public Works,v2,35514.08,Net 30,PayPal,2022-11-26,false
17,Maintenance,Port,v1,99131.16,Net 60,Bank Transfer,2023-06-09,false
18,Construction,Public Works,v5,48683.87,Net 30,Bank Transfer,2022-11-23,false
19,Construction,Engineering,v1,47674.77,Net 60,PayPal,2023-06-30,false
20,Maintenance,Port,v1,25562.88,Net 45,Credit Card,2023-02-10,true
21,Services,Public Works,v3,56543.22,Net 45,Credit Card,2022-12-25,false
22,Maintenance,Bridge and Highway,v4,27213.86,Net 45,Credit Card,2023-09-08,true
23,Supply,Airport,v3,50458.54,Net 60,PayPal,2023-01-03,false
24,Maintenance,Transportation,v3,83098.05,Net 45,Bank Transfer,2023-09-21,true
25,Maintenance,Airport,v4,20504.21,Net 60,PayPal,2022-11-28,true
