ContractID,ContractType,Department,VendorID,ContractValue,PaymentTerms,Payment_Method,TransactionDate,IsFraud
1,Construction,Engineering,v4,78881.78,Net 30,Credit Card,"error: invalid date ""2022-10-31""",true
2,Supply,Port,v1,6746.47,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
3,Supply,Engineering,v4,83153.69,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
4,Maintenance,Engineering,v5,89846.45,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
5,Services,Engineering,v5,19630.48,Net 30,Bank Transfer,"error: invalid date ""2022-10-31""",true
6,Services,Bridge and Highway,v2,20305.77,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",true
7,Services,Engineering,v1,87085.81,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
8,Supply,Engineering,v2,3561.34,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
9,Supply,Engineering,v5,47612.72,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",true
10,Supply,Engineering,v5,98371.72,Net 30,Bank Transfer,"error: invalid date ""2022-10-31""",true
11,Services,Bridge and Highway,v5,7346.22,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
12,Construction,Engineering,v1,94331.05,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
13,Maintenance,Engineering,v1,20339.92,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
14,Construction,Engineering,v4,8348.45,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
15,Services,Engineering,v3,66186.21,Net 45,Bank Transfer,"error: invalid date ""2022-10-31""",false
16,Construction,Engineering,v5,67641.44,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
17,Services,Public Works,v4,59038.46,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
18,Supply,Engineering,v2,50889.21,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
19,Supply,Airport,v1,58758.8,Net 30,PayPal,"error: invalid date ""2022-10-31""",true
20,Construction,Engineering,v2,13109.97,Net 30,PayPal,"error: invalid date ""2022-10-31""",true
21,Supply,Engineering,v1,8075.94,Net 30,PayPal,"error: invalid date ""2022-10-31""",false
22,Services,Engineering,v4,61093.89,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
23,Construction,Engineering,v4,79211.68,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
24,Services,Engineering,v2,11233.95,Net 30,Bank Transfer,"error: invalid date ""2022-10-31""",true
25,Services,Public Works,v1,68821.0,Net 45,PayPal,"error: invalid date ""2022-10-31""",false
26,Supply,Public Works,v2,89284.84,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
27,Supply,Airport,v1,938.7,Net 45,PayPal,"error: invalid date ""2022-10-31""",true
28,Services,Port,v1,82986.33,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
29,Services,Transportation,v5,96190.23,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
30,Services,Engineering,v2,62125.93,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
31,Services,Engineering,v2,52520.57,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
32,Services,Engineering,v5,68854.74,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
33,Services,Public Works,v3,27826.07,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
34,Construction,Engineering,v5,83125.12,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
35,Services,Engineering,v1,66066.74,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",true
36,Services,Engineering,v1,88818.34,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
37,Services,Engineering,v1,20669.22,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
38,Services,Engineering,v5,32007.99,Net 45,PayPal,"error: invalid date ""2022-10-31""",false
39,Supply,Public Works,v2,35308.61,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
40,Services,Engineering,v1,81344.23,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",false
41,Maintenance,Public Works,v5,32575.85,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
42,Construction,Engineering,v1,12841.21,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
43,Supply,Transportation,v4,50140.63,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
44,Services,Bridge and Highway,v5,5764.53,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
45,Supply,Port,v1,66415.59,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
46,Services,Engineering,v5,15911.05,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
47,Construction,Bridge and Highway,v1,25236.0,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",true
48,Services,Engineering,v1,16157.65,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
49,Services,Engineering,v4,1936.81,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
50,Construction,Engineering,v4,78981.06,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
51,Supply,Transportation,v4,43004.43,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
52,Services,Engineering,v3,53296.34,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
53,Services,Engineering,v2,13281.18,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
54,Construction,Engineering,v1,96175.78,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
55,Construction,Engineering,v2,79656.6,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
56,Construction,Engineering,v2,50781.17,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
57,Supply,Engineering,v1,12143.93,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
58,Construction,Public Works,v5,70570.68,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
