ContractID,ContractType,Department,VendorID,ContractValue,PaymentTerms,Payment_Method,IsFraud
1,Construction,Engineering,v5,43721.15,Net 30,PayPal,1
2,Construction,Engineering,v3,8694.84,Net 30,Credit Card,0
3,Supply,Public Works,v5,56674.92,Net 60,PayPal,1
4,Construction,Airport,v1,23387.66,Net 45,Bank Transfer,1
5,Supply,Engineering,v5,94326.48,Net 30,Credit Card,0
6,Supply,Port,v2,17849.89,Net 45,PayPal,0
7,Services,Transportation,v5,86727.17,Net 45,PayPal,0
8,Services,Engineering,v1,2920.4,Net 45,PayPal,0
9,Services,Bridge and Highway,v1,82898.19,Net 60,PayPal,0
10,Supply,Airport,v2,56073.38,Net 60,PayPal,0
11,Services,Bridge and Highway,v2,44431.22,Net 60,Credit Card,0
12,Construction,Engineering,v2,29429.84,Net 30,Bank Transfer,0
13,Supply,Port,v5,96450.31,Net 60,Credit Card,0
14,Services,Public Works,v1,25567.05,Net 30,Bank Transfer,0
15,Services,Public Works,v4,18502.14,Net 60,Credit Card,0
16,Services,Bridge and Highway,v5,185.82,Net 45,Bank Transfer,0
17,Maintenance,Port,v2,41260.45,Net 60,Bank Transfer,0
18,Services,Port,v4,14741.65,Net 45,Bank Transfer,1
19,Construction,Engineering,v2,93942.85,Net 60,Credit Card,1
20,Supply,Engineering,v5,55380.92,Net 60,Credit Card,1
21,Services,Public Works,v2,96496.43,Net 60,PayPal,0
22,Construction,Engineering,v4,90248.13,Net 60,Credit Card,0
23,Construction,Airport,v3,65728.21,Net 60,Credit Card,0
24,Supply,Airport,v2,28174.93,Net 45,Credit Card,0
25,Maintenance,Engineering,v3,46763.92,Net 30,Bank Transfer,0
26,Supply,Bridge and Highway,v1,76637.08,Net 60,Bank Transfer,1
27,Supply,Public Works,v1,12877.25,Net 45,Credit Card,0
28,Services,Airport,v1,46378.84,Net 60,Credit Card,0
29,Services,Airport,v1,43569.55,Net 45,Credit Card,1
30,Services,Port,v5,29758.8,Net 60,Credit Card,0
31,Supply,Port,v2,58423.45,Net 60,PayPal,0
32,Supply,Engineering,v1,5884.79,Net 30,PayPal,1
33,Construction,Public Works,v1,98501.21,Net 60,Credit Card,0
34,Construction,Public Works,v5,87180.34,Net 45,PayPal,0
35,Services,Bridge and Highway,v2,63093.86,Net 30,Bank Transfer,1
36,Supply,Engineering,v5,24708.48,Net 45,Bank Transfer,1
37,Services,Port,v4,29629.93,Net 30,Credit Card,0
38,Services,Engineering,v1,23848.97,Net 60,Bank Transfer,0
39,Maintenance,Engineering,v5,28941.52,Net 45,Bank Transfer,0
40,Supply,Engineering,v5,38378.21,Net 60,Credit Card,0
41,Services,Engineering,v4,22464.81,Net 45,Bank Transfer,0
42,Supply,Airport,v2,42511.93,Net 60,PayPal,0
43,Supply,Public Works,v5,60983.92,Net 30,Credit Card,0
44,Supply,Bridge and Highway,v4,58831.32,Net 60,Credit Card,0
45,Supply,Port,v1,94036.03,Net 45,Credit Card,0
46,Services,Port,v2,47881.9,Net 60,Bank Transfer,1
47,Services,Port,v2,1560.47,Net 60,Credit Card,0
48,Supply,Bridge and Highway,v1,62071.71,Net 60,Credit Card,1
49,Maintenance,Airport,v4,88321.07,Net 45,Credit Card,0
50,Construction,Engineering,v5,42666.16,Net 45,PayPal,1
51,Construction,Port,v1,41616.33,Net 45,Credit Card,1
52,Supply,Engineering,v5,53484.79,Net 30,Credit Card,1
53,Services,Engineering,v1,22496.02,Net 60,Credit Card,0
54,Services,Airport,v1,7300.85,Net 60,Credit Card,0
55,Supply,Public Works,v2,2230.91,Net 30,Credit Card,0
56,Services,Public Works,v5,19306.96,Net 30,Credit Card,0
57,Maintenance,Public Works,v1,63639.9,Net 60,Credit Card,0
58,Supply,Airport,v5,44955.12,Net 45,Credit Card,0
59,Services,Bridge and Highway,v1,20332.9,Net 60,Credit Card,1
60,Services,Public Works,v5,83176.89,Net 30,Credit Card,0
61,Construction,Engineering,v1,71838.17,Net 45,Credit Card,0
62,Supply,Public Works,v5,72292.31,Net 60,Credit Card,1
63,Services,Engineering,v5,71797.36,Net 30,Credit Card,0
64,Services,Public Works,v1,34897.35,Net 30,Credit Card,0
65,Supply,Engineering,v2,73911.66,Net 45,Bank Transfer,0
66,Supply,Engineering,v1,77463.9,Net 60,Bank Transfer,1
